name,mainaddressline,postcode,areaname2,areaname1,annual_sales,geometry,iso_5walk,iso_10walk,n_pois,n_competitors,p_t,p_ed_00_14_m,p_ed_00_14_h,p_ed_15_24_m,p_ed_15_24_h,p_ed_25_44_m,p_ed_25_44_h,p_ed_45_64_m,p_ed_45_64_h,p_ed_65_79_m,p_ed_65_79_h,p_ed_80_mas_m,p_ed_80_mas_h,renta_hab_disp,c02_01_gasto_m_alimentacion_m,dist_cc,distance_closest_ce,dist_compet,groc_stores_hab,p_ed_00_14,p_ed_15_24,p_ed_25_44,p_ed_45_64,p_ed_65_79,p_ed_80_mas,p_ed_65_mas
CARREFOUR EXPRESS SAN BERNARDO 76,CALLE DEL DIVINO PASTOR 76,28004,MADRID,COMUNIDAD DE MADRID,14.723557703627113,POINT (-3.706055 40.428106),"MULTIPOLYGON (((-3.7091732 40.4283142, -3.708744 40.4284859, -3.7077141 40.4295158, -3.7066841 40.4298592, -3.7063408 40.4302025, -3.7058258 40.4303741, -3.7053108 40.4302025, -3.7046242 40.4295158, -3.7042809 40.4284859, -3.7032509 40.4281425, -3.7030792 40.4276276, -3.7030792 40.4269409, -3.7032509 40.4264259, -3.7037659 40.4262543, -3.7058258 40.4262543, -3.7063408 40.4260826, -3.7066841 40.4257393, -3.7071991 40.4255676, -3.7077141 40.4257393, -3.709774 40.4277992, -3.7098598 40.4281425, -3.7096024 40.4283142, -3.7091732 40.4283142)))","MULTIPOLYGON (((-3.7114048 40.4271126, -3.7111473 40.4274559, -3.710804 40.4277992, -3.710804 40.4281425, -3.7111473 40.4284859, -3.711319 40.4290009, -3.7111473 40.4295158, -3.7101173 40.4298592, -3.7094307 40.4305458, -3.7090874 40.4315758, -3.708744 40.4315758, -3.7084007 40.4305458, -3.7080574 40.4305458, -3.7078857 40.4310608, -3.7078857 40.4317474, -3.7077141 40.4322624, -3.7071991 40.4324341, -3.7051392 40.4324341, -3.7046242 40.4322624, -3.7042809 40.4319191, -3.7032509 40.4315758, -3.7025642 40.4308891, -3.7022209 40.4298592, -3.7011909 40.4295158, -3.7005043 40.4288292, -3.7005043 40.4284859, -3.7008476 40.4281425, -3.7008476 40.4277992, -3.7003326 40.4276276, -3.699646 40.4276276, -3.699131 40.4274559, -3.699131 40.4271126, -3.700161 40.4267693, -3.7003326 40.4262543, -3.7003326 40.4255676, -3.7005043 40.4250526, -3.7010193 40.424881, -3.7044525 40.424881, -3.7049675 40.4247093, -3.7059975 40.4236794, -3.7070274 40.423336, -3.7073708 40.4229927, -3.7077141 40.4229927, -3.7078857 40.4235077, -3.7078857 40.4241943, -3.7080574 40.4247093, -3.7090874 40.4250526, -3.7094307 40.425396, -3.7099457 40.4255676, -3.7106323 40.4255676, -3.7111473 40.4257393, -3.711834 40.4264259, -3.7119198 40.4267693, -3.7114048 40.4271126)))",1291,74,6816.293485186227,0.0418264793282896,0.03922310747824698,0.033868914744348146,0.029913425811567147,0.20288609997655252,0.20286602924121214,0.1334277893419814,0.12356977841229655,0.06745051458481208,0.044697850776820425,0.05609814709537568,0.024171863208497252,14868.912743824287,3677.0380825076313,1265.5051835350039,210.55572408013123,41.357312000904244,1.1003047354547841,0.08104958680653657,0.06378234055591529,0.40575212921776466,0.25699756775427796,0.1121483653616325,0.08027001030387293,0.19241837566550543
CARREFOUR EXPRESS ARAVACA,AVENIDA DE LA OSA MAYOR 62,28023,MADRID,COMUNIDAD DE MADRID,18.5421392604204,POINT (-3.7826712 40.4591369),"MULTIPOLYGON (((-3.7853909 40.4598999, -3.7849617 40.4600716, -3.7846184 40.4604149, -3.7841034 40.4605865, -3.7835884 40.4604149, -3.7832451 40.4593849, -3.7829018 40.4593849, -3.7825584 40.4597282, -3.7815285 40.4600716, -3.7811852 40.4604149, -3.7806702 40.4605865, -3.7801552 40.4604149, -3.7794685 40.4597282, -3.7792969 40.4592133, -3.7794685 40.4586983, -3.7804985 40.4583549, -3.7822151 40.4566383, -3.7827301 40.4564667, -3.7832451 40.4566383, -3.7849617 40.4583549, -3.7859917 40.4586983, -3.7861633 40.4592133, -3.7860775 40.4597282, -3.78582 40.4598999, -3.7853909 40.4598999)))","MULTIPOLYGON (((-3.7888241 40.4598999, -3.7883949 40.4600716, -3.7880516 40.4611015, -3.787365 40.4617882, -3.78685 40.4619598, -3.786335 40.4617882, -3.7859917 40.4614449, -3.7856483 40.4614449, -3.7854767 40.4619598, -3.7854767 40.4626465, -3.785305 40.4631615, -3.78479 40.4633331, -3.7841034 40.4633331, -3.7835884 40.4631615, -3.7832451 40.4628181, -3.7822151 40.4624748, -3.7818718 40.4614449, -3.7815285 40.4614449, -3.7811852 40.4617882, -3.7808418 40.4617882, -3.7804985 40.4614449, -3.7801552 40.4614449, -3.7798119 40.4624748, -3.7792969 40.4626465, -3.7787819 40.4624748, -3.7784386 40.4621315, -3.7774086 40.4617882, -3.7770653 40.4614449, -3.7760353 40.4611015, -3.7758636 40.4605865, -3.7758636 40.4592133, -3.7760353 40.4586983, -3.776722 40.4580116, -3.7772369 40.45784, -3.7779236 40.45784, -3.7784386 40.4576683, -3.7798119 40.456295, -3.7801552 40.455265, -3.7806702 40.4550934, -3.7841034 40.4550934, -3.7846184 40.455265, -3.7849617 40.456295, -3.7859917 40.4566383, -3.786335 40.4569817, -3.787365 40.457325, -3.7877083 40.4576683, -3.7882233 40.45784, -3.7889099 40.45784, -3.7894249 40.4580116, -3.7895966 40.4585266, -3.7895966 40.4592133, -3.7895107 40.4597282, -3.7892532 40.4598999, -3.7888241 40.4598999)))",513,16,2831.9373371016254,0.07552169459346521,0.07957567428026485,0.05005070981615318,0.04794652424554008,0.15138793628266542,0.12101124963847851,0.14773686808508643,0.1274425280176864,0.07208907292619476,0.05242594990090116,0.04793492354407999,0.026876868669483685,24063.129985352523,4392.1757016052325,8199.55096638184,1564.4179492011383,16.410933222186564,0.6002957684578861,0.15509736887373005,0.09799723406169325,0.2723991859211439,0.27517939610277287,0.12451502282709592,0.07481179221356367,0.19932681504065958
CARREFOUR EXPRESS RAMIREZ DEL PRADO,CALLE DE JUAN DE MARIANA 8,28045,MADRID,COMUNIDAD DE MADRID,14.049264679874993,POINT (-3.686555 40.39912260000001),"MULTIPOLYGON (((-3.6901188 40.3996468, -3.6898613 40.3999901, -3.6888313 40.4003334, -3.688488 40.4006767, -3.687973 40.4008484, -3.6852264 40.4008484, -3.6847115 40.4006767, -3.6833382 40.3993034, -3.6833382 40.3989601, -3.6840248 40.3982735, -3.6850548 40.3979301, -3.6860847 40.3969002, -3.6865997 40.3967285, -3.6872864 40.3967285, -3.6878014 40.3969002, -3.6881447 40.3979301, -3.6886597 40.3981018, -3.6893463 40.3981018, -3.6898613 40.3982735, -3.6905479 40.3989601, -3.6906338 40.3993034, -3.6901188 40.3996468)))","MULTIPOLYGON (((-3.6921787 40.4013634, -3.6919212 40.4010201, -3.6915779 40.4010201, -3.6905479 40.40205, -3.689518 40.4023933, -3.688488 40.4034233, -3.6881447 40.4034233, -3.6871147 40.4023933, -3.6865997 40.4022217, -3.6845398 40.4022217, -3.6840248 40.40205, -3.6836815 40.4017067, -3.6833382 40.4017067, -3.6823082 40.4027367, -3.6819649 40.4027367, -3.6817932 40.4022217, -3.6819649 40.4017067, -3.6823082 40.4013634, -3.6823082 40.4010201, -3.6812782 40.3999901, -3.6811066 40.3994751, -3.6812782 40.3989601, -3.6823082 40.3986168, -3.6823082 40.3982735, -3.6812782 40.3972435, -3.6811066 40.3967285, -3.6812782 40.3962135, -3.6817932 40.3960419, -3.6823082 40.3962135, -3.6826515 40.3965569, -3.6829948 40.3965569, -3.6833382 40.3955269, -3.6838531 40.3953552, -3.6845398 40.3953552, -3.6850548 40.3951836, -3.6853981 40.3948402, -3.6859131 40.3946686, -3.6865997 40.3946686, -3.6871147 40.3948402, -3.6872864 40.3953552, -3.6872864 40.3960419, -3.687458 40.3965569, -3.6878014 40.3965569, -3.687973 40.3960419, -3.687973 40.3953552, -3.6881447 40.3948402, -3.6886597 40.3946686, -3.6891747 40.3948402, -3.689518 40.3951836, -3.6905479 40.3955269, -3.6907196 40.3960419, -3.6907196 40.3974152, -3.6905479 40.3979301, -3.6902046 40.3982735, -3.6902046 40.3986168, -3.6912346 40.3989601, -3.6915779 40.3993034, -3.6926079 40.3996468, -3.6927795 40.4001617, -3.6927795 40.4008484, -3.6926937 40.4013634, -3.6924362 40.401535, -3.6921787 40.4013634)))",301,11,2923.4062287775123,0.08181844078008642,0.0960994304066717,0.04978318275707002,0.054655837933297216,0.16726023365200665,0.16156575467911408,0.1578749906512633,0.14814655957287284,0.035524370770644305,0.02729988696364361,0.013907569291787747,0.006063742541542049,13552.69478522588,4025.0750086512894,2434.259576154013,1218.443306214894,69.72183111416162,0.4104800722483946,0.17791787118675811,0.10443902069036723,0.32882598833112076,0.30602155022413613,0.06282425773428792,0.019971311833329796,0.08279556956761772
CARREFOUR EXPRESS PASTORA IMPERIO. 1,CALLE PASTORA IMPERIO 1,28036,MADRID,COMUNIDAD DE MADRID,15.864545162157464,POINT (-3.6746499 40.4809536),"MULTIPOLYGON (((-3.6755276 40.4832458, -3.6749268 40.4832458, -3.6744118 40.4830742, -3.6737251 40.4823875, -3.6735535 40.4818726, -3.6735535 40.4811859, -3.6733818 40.4806709, -3.6730385 40.4803276, -3.6730385 40.4799843, -3.6735535 40.4798126, -3.6742401 40.4798126, -3.6747551 40.479641, -3.6750984 40.4792976, -3.6756134 40.479126, -3.6761284 40.4792976, -3.6763 40.4798126, -3.6763 40.4825592, -3.6762142 40.4830742, -3.6759567 40.4832458, -3.6755276 40.4832458)))","MULTIPOLYGON (((-3.6755276 40.4846191, -3.6750984 40.4844475, -3.6747551 40.4834175, -3.6737251 40.4823875, -3.6735535 40.4818726, -3.6735535 40.4811859, -3.6733818 40.4806709, -3.6728668 40.4804993, -3.6723518 40.4806709, -3.6720085 40.4810143, -3.6714935 40.4811859, -3.6709785 40.4810143, -3.6706352 40.4806709, -3.6701202 40.4804993, -3.6694336 40.4804993, -3.6689186 40.4803276, -3.6687469 40.4798126, -3.6689186 40.4792976, -3.6699486 40.4789543, -3.6701202 40.4784393, -3.6701202 40.4777527, -3.6702919 40.4772377, -3.6708069 40.477066, -3.6713219 40.4772377, -3.6723518 40.4782677, -3.6726952 40.4782677, -3.6737251 40.4772377, -3.6740685 40.4772377, -3.6744118 40.477581, -3.6747551 40.477581, -3.6750984 40.4765511, -3.6756134 40.4763794, -3.6761284 40.4765511, -3.6763 40.477066, -3.6763 40.4839325, -3.6762142 40.4844475, -3.6759567 40.4846191, -3.6755276 40.4846191)))",224,8,1959.5012698641938,0.06355783967633455,0.06307480708112738,0.05776251884644075,0.055971357953423416,0.14627244969865616,0.14168925983063507,0.16349878029612422,0.13304798856254263,0.07289226589449511,0.06646774008525806,0.02159503971767737,0.014169952357285517,23819.54432333299,4608.789385081924,7516.494975842523,694.5454275639835,47.30583359651217,0.4593005443994307,0.12663264675746194,0.11373387679986416,0.28796170952929123,0.2965467688586668,0.13936000597975318,0.035764992074962886,0.17512499805471607
CARREFOUR EXPRESS BÉJAR,CALLE DE BÉJAR 1,28028,MADRID,COMUNIDAD DE MADRID,22.766014904819787,POINT (-3.674525700000001 40.4352217),"MULTIPOLYGON (((-3.6762142 40.436554, -3.6757851 40.4367256, -3.6754417 40.4370689, -3.6750984 40.4370689, -3.6747551 40.4367256, -3.6744118 40.4367256, -3.6740685 40.4370689, -3.6735535 40.4372406, -3.6721802 40.4372406, -3.6716652 40.4370689, -3.6716652 40.4367256, -3.6720085 40.4363823, -3.6721802 40.4358673, -3.6720085 40.4353523, -3.6716652 40.435009, -3.6714935 40.434494, -3.6716652 40.433979, -3.6726952 40.4336357, -3.6730385 40.4326057, -3.6733818 40.4326057, -3.6737251 40.4329491, -3.6740685 40.4329491, -3.6744118 40.4326057, -3.6749268 40.4324341, -3.6754417 40.4326057, -3.6757851 40.4336357, -3.676815 40.433979, -3.6769867 40.434494, -3.6769867 40.4358673, -3.6769009 40.4363823, -3.6766434 40.436554, -3.6762142 40.436554)))","MULTIPOLYGON (((-3.6803341 40.436554, -3.6799049 40.4367256, -3.6795616 40.4377556, -3.6792183 40.4380989, -3.678875 40.4391289, -3.6785316 40.4391289, -3.6781883 40.4387856, -3.6776733 40.4386139, -3.6763 40.4386139, -3.6757851 40.4387856, -3.6754417 40.4391289, -3.6749268 40.4393005, -3.6744118 40.4391289, -3.6740685 40.4387856, -3.6737251 40.4387856, -3.6733818 40.4391289, -3.6728668 40.4393005, -3.6721802 40.4393005, -3.6716652 40.4391289, -3.6713219 40.4387856, -3.6708069 40.4386139, -3.6701202 40.4386139, -3.6696053 40.4384422, -3.6696053 40.4380989, -3.6699486 40.4377556, -3.6699486 40.4374123, -3.6696053 40.4370689, -3.6694336 40.436554, -3.6694336 40.4338074, -3.6696053 40.4332924, -3.6699486 40.4329491, -3.6702919 40.4319191, -3.6706352 40.4315758, -3.6709785 40.4305458, -3.6714935 40.4303741, -3.6742401 40.4303741, -3.6747551 40.4302025, -3.6750984 40.4298592, -3.6754417 40.4298592, -3.6756134 40.4303741, -3.6756134 40.4310608, -3.6757851 40.4315758, -3.6763 40.4317474, -3.6776733 40.4317474, -3.6781883 40.4319191, -3.6795616 40.4332924, -3.6799049 40.4343224, -3.6802483 40.4346657, -3.6805916 40.4356956, -3.6809349 40.436039, -3.6810207 40.4363823, -3.6807632 40.436554, -3.6803341 40.436554)))",1268,83,7135.501141129339,0.04838655854509766,0.04765274372662707,0.03753655933547005,0.03559985215926132,0.18073985270036716,0.15730726724953475,0.1468150553083429,0.11077292058942896,0.09236056139617513,0.053400642628238605,0.061854433082317015,0.027573553279139396,18010.73990150443,3837.0646760990658,3182.0993618952007,416.4465829219584,10.12095755568271,1.1772123406416453,0.09603930227172472,0.07313641149473138,0.3380471199499019,0.2575879758977719,0.14576120402441373,0.08942798636145641,0.23518919038587013
CARREFOUR EXPRESS SANTA ISABEL 28,CALLE DE SANTA ISABEL 28,28012,MADRID,COMUNIDAD DE MADRID,19.15717995421,POINT (-3.698384 40.410828),"MULTIPOLYGON (((-3.7011051 40.4113197, -3.7010193 40.4118347, -3.7008476 40.4123497, -3.6998177 40.412693, -3.6994743 40.4130363, -3.699131 40.4130363, -3.6987877 40.412693, -3.6977577 40.4123497, -3.6974144 40.4120064, -3.6963844 40.4116631, -3.6960411 40.4106331, -3.6956978 40.4102898, -3.6955261 40.4097748, -3.6956978 40.4092598, -3.6962128 40.4090881, -3.6989594 40.4090881, -3.6994743 40.4089165, -3.6998177 40.4085732, -3.700161 40.4085732, -3.7015343 40.4099464, -3.7017059 40.4104614, -3.7016201 40.4109764, -3.7011051 40.4113197)))","MULTIPOLYGON (((-3.70368 40.413208, -3.7032509 40.4133797, -3.7029076 40.4144096, -3.7023926 40.4145813, -3.7017059 40.4145813, -3.7011909 40.414753, -3.700161 40.4157829, -3.699646 40.4159546, -3.699131 40.4157829, -3.6987877 40.4154396, -3.6984444 40.4154396, -3.698101 40.4157829, -3.6977577 40.4157829, -3.6974144 40.414753, -3.6967278 40.4140663, -3.6962128 40.4138947, -3.6955261 40.4138947, -3.6950111 40.413723, -3.6929512 40.4116631, -3.6929512 40.4113197, -3.6932945 40.4109764, -3.6932945 40.4106331, -3.6929512 40.4102898, -3.6927795 40.4097748, -3.6927795 40.4084015, -3.6929512 40.4078865, -3.6934662 40.4077148, -3.6939812 40.4078865, -3.6943245 40.4082298, -3.6946678 40.4082298, -3.6956978 40.4071999, -3.6962128 40.4070282, -3.6968994 40.4070282, -3.6974144 40.4071999, -3.6977577 40.4075432, -3.6982727 40.4077148, -3.6989594 40.4077148, -3.6994743 40.4075432, -3.6998177 40.4065132, -3.700161 40.4065132, -3.7005043 40.4068565, -3.7010193 40.4070282, -3.7023926 40.4070282, -3.7029076 40.4071999, -3.7035942 40.4078865, -3.7035942 40.4082298, -3.7032509 40.4085732, -3.7030792 40.4090881, -3.7030792 40.4097748, -3.7032509 40.4102898, -3.7042809 40.4106331, -3.7044525 40.4111481, -3.7044525 40.4125214, -3.7043667 40.4130363, -3.7041092 40.413208, -3.70368 40.413208)))",1245,142,9293.032979816695,0.03933304125268186,0.04239054099476427,0.03152204907243297,0.0330853305706698,0.19912446182859742,0.24687999304611272,0.12574884911542858,0.1443508538447292,0.04935730018764068,0.03768557013006616,0.03519681039868901,0.015325199558187171,12800.488918563306,3572.5754092097013,794.8850589199453,374.6397216396831,19.51207862818418,1.538787178637783,0.08172358224744614,0.06460737964310277,0.44600445487471013,0.2700997029601578,0.08704287031770684,0.05052200995687618,0.13756488027458302
CARREFOUR EXPRESS GENERAL MARTÍNEZ CAMPOS,PASEO DEL GENERAL MARTÍNEZ CAMPOS 24,28010,MADRID,COMUNIDAD DE MADRID,29.07894967227705,POINT (-3.6944655 40.4349275),"MULTIPOLYGON (((-3.6975002 40.4351807, -3.6970711 40.4353523, -3.6967278 40.4356956, -3.6956978 40.436039, -3.6953545 40.4370689, -3.6948395 40.4372406, -3.6943245 40.4370689, -3.6939812 40.436039, -3.6936378 40.436039, -3.6932945 40.4370689, -3.6929512 40.4370689, -3.6926079 40.436039, -3.6920929 40.4358673, -3.6914063 40.4358673, -3.6908913 40.4356956, -3.6907196 40.4351807, -3.6908913 40.4346657, -3.6915779 40.433979, -3.6920929 40.4338074, -3.6927795 40.4338074, -3.6932945 40.433979, -3.6936378 40.4343224, -3.6939812 40.4343224, -3.6941528 40.4338074, -3.6941528 40.4331207, -3.6943245 40.4326057, -3.6948395 40.4324341, -3.6953545 40.4326057, -3.6955261 40.4331207, -3.6955261 40.4338074, -3.6956978 40.4343224, -3.6962128 40.434494, -3.6975861 40.434494, -3.698101 40.4346657, -3.6981869 40.435009, -3.6979294 40.4351807, -3.6975002 40.4351807)))","MULTIPOLYGON (((-3.7011051 40.4353523, -3.7008476 40.4356956, -3.7005043 40.436039, -3.700161 40.4370689, -3.699646 40.4372406, -3.6989594 40.4372406, -3.6984444 40.4374123, -3.698101 40.4377556, -3.6970711 40.4380989, -3.6967278 40.4384422, -3.6956978 40.4387856, -3.6953545 40.4398155, -3.6948395 40.4399872, -3.6943245 40.4398155, -3.6939812 40.4387856, -3.6936378 40.4387856, -3.6932945 40.4398155, -3.6927795 40.4399872, -3.6922646 40.4398155, -3.6919212 40.4387856, -3.6912346 40.4380989, -3.6902046 40.4377556, -3.6891747 40.4367256, -3.6886597 40.436554, -3.687973 40.436554, -3.687458 40.4363823, -3.6872864 40.4358673, -3.6872864 40.4351807, -3.687458 40.4346657, -3.6881447 40.433979, -3.6886597 40.4338074, -3.6893463 40.4338074, -3.6898613 40.4336357, -3.6902046 40.4326057, -3.6907196 40.4324341, -3.6920929 40.4324341, -3.6926079 40.4322624, -3.6927795 40.4317474, -3.6927795 40.4310608, -3.6929512 40.4305458, -3.6934662 40.4303741, -3.6939812 40.4305458, -3.6943245 40.4308891, -3.6946678 40.4308891, -3.6950111 40.4305458, -3.6953545 40.4305458, -3.6955261 40.4310608, -3.6955261 40.4317474, -3.6956978 40.4322624, -3.6960411 40.4322624, -3.6963844 40.4319191, -3.6968994 40.4317474, -3.6975861 40.4317474, -3.698101 40.4319191, -3.6984444 40.4322624, -3.6989594 40.4324341, -3.699646 40.4324341, -3.700161 40.4326057, -3.7005043 40.4336357, -3.7015343 40.433979, -3.7017059 40.434494, -3.7016201 40.435009, -3.7011051 40.4353523)))",1882,54,4248.089977018689,0.05876185372665434,0.058043827173242454,0.04686749887968757,0.04431899210133961,0.1542360495236589,0.1385152833147994,0.15115377596092766,0.11535821530767361,0.08765682270616326,0.060598003320550764,0.05922757064474078,0.025262107340561047,22214.811378450693,4077.2510888592797,2139.673941534277,420.70613127622386,52.50079604688565,1.2946995072500564,0.11680568089989679,0.09118649098102719,0.29275133283845833,0.26651199126860126,0.14825482602671403,0.08448967798530183,0.23274450401201585
CARREFOUR EXPRESS CEPSA GLORIETA DEL YUCATÁN,GLORIETA YUCATÁN,28043,MADRID,COMUNIDAD DE MADRID,12.162754,POINT (-3.6272635 40.450771),"MULTIPOLYGON (((-3.630209 40.4509735, -3.6297798 40.4511452, -3.6294365 40.4514885, -3.6289215 40.4516602, -3.6275482 40.4516602, -3.6270332 40.4514885, -3.6268616 40.4509735, -3.6268616 40.4502869, -3.6270332 40.4497719, -3.6275482 40.4496002, -3.6302948 40.4496002, -3.6308098 40.4497719, -3.6309814 40.4502869, -3.6308956 40.4508018, -3.6306381 40.4509735, -3.630209 40.4509735)))","MULTIPOLYGON (((-3.6336422 40.4516602, -3.6309814 40.4516602, -3.6304665 40.4518318, -3.6301231 40.4528618, -3.6296082 40.4530334, -3.6289215 40.4530334, -3.6284065 40.4532051, -3.6284065 40.4535484, -3.6287498 40.4538918, -3.6289215 40.4544067, -3.6287498 40.4549217, -3.6282349 40.4550934, -3.6261749 40.4550934, -3.6256599 40.4549217, -3.6242867 40.4535484, -3.6242867 40.4532051, -3.6249733 40.4525185, -3.6260033 40.4521751, -3.6263466 40.4511452, -3.6266899 40.4508018, -3.6270332 40.4497719, -3.6275482 40.4496002, -3.6282349 40.4496002, -3.6287498 40.4494286, -3.6290932 40.4490852, -3.6296082 40.4489136, -3.6330414 40.4489136, -3.6335564 40.4490852, -3.6338997 40.4501152, -3.634243 40.4504585, -3.6344147 40.4509735, -3.6343288 40.4514885, -3.6340714 40.4516602, -3.6336422 40.4516602)))",3,1,,,,,,,,,,,,,,,,7470.695636562545,1981.021354806793,651.2099498360816,,,,,,,,
CARREFOUR EXPRESS PASEO DE LA HABANA,PASEO DE LA HABANA 137,28036,MADRID,COMUNIDAD DE MADRID,33.09779923184926,POINT (-3.680864 40.460763),"MULTIPOLYGON (((-3.6825657 40.4607582, -3.6823082 40.4611015, -3.6819649 40.4614449, -3.6816216 40.4624748, -3.6805916 40.4628181, -3.6802483 40.4631615, -3.6799049 40.4631615, -3.6795616 40.4621315, -3.6785316 40.4617882, -3.67836 40.4612732, -3.67836 40.4605865, -3.6785316 40.4600716, -3.6790466 40.4598999, -3.6797333 40.4598999, -3.6802483 40.4597282, -3.6802483 40.4593849, -3.6799049 40.4590416, -3.6797333 40.4585266, -3.6799049 40.4580116, -3.6804199 40.45784, -3.6809349 40.4580116, -3.6812782 40.4583549, -3.6816216 40.4583549, -3.6819649 40.4580116, -3.6823082 40.4580116, -3.6829948 40.4586983, -3.6831665 40.4592133, -3.6831665 40.4598999, -3.6830807 40.4604149, -3.6825657 40.4607582)))","MULTIPOLYGON (((-3.6865139 40.4612732, -3.6860847 40.4614449, -3.6859131 40.4619598, -3.6859131 40.4633331, -3.6857414 40.4638481, -3.6852264 40.4640198, -3.6845398 40.4640198, -3.6840248 40.4638481, -3.6836815 40.4628181, -3.6831665 40.4626465, -3.6826515 40.4628181, -3.6823082 40.4638481, -3.6816216 40.4645348, -3.6805916 40.4648781, -3.6795616 40.4659081, -3.6792183 40.4659081, -3.6790466 40.4653931, -3.6790466 40.4640198, -3.6792183 40.4635048, -3.6795616 40.4631615, -3.6795616 40.4628181, -3.6790466 40.4626465, -3.6785316 40.4628181, -3.6775017 40.4638481, -3.6771584 40.4638481, -3.6757851 40.4624748, -3.6756134 40.4619598, -3.6756134 40.4612732, -3.6754417 40.4607582, -3.6744118 40.4604149, -3.6744118 40.4600716, -3.6749268 40.4598999, -3.6756134 40.4598999, -3.6761284 40.4597282, -3.6763 40.4592133, -3.6763 40.4585266, -3.6764717 40.4580116, -3.6769867 40.45784, -3.6790466 40.45784, -3.6795616 40.4576683, -3.6795616 40.457325, -3.6785316 40.4569817, -3.6785316 40.4566383, -3.6792183 40.4559517, -3.6797333 40.45578, -3.6817932 40.45578, -3.6823082 40.4559517, -3.6826515 40.456295, -3.6831665 40.4564667, -3.6838531 40.4564667, -3.6843681 40.4566383, -3.6850548 40.457325, -3.6853981 40.4583549, -3.6864281 40.4586983, -3.6867714 40.4597282, -3.6871147 40.4600716, -3.6872864 40.4605865, -3.6872005 40.4611015, -3.6869431 40.4612732, -3.6865139 40.4612732)))",667,16,2155.215712694392,0.07525941105132176,0.07172325945785818,0.048217009740678364,0.049107196481068434,0.1502948380626813,0.12957644640677074,0.14586030592267052,0.11250231769127061,0.08106831886711648,0.0547531042713259,0.04912804909789634,0.032509742949340885,23633.06595378362,4383.734718078011,5230.478158821211,831.1642070384383,189.48187630875108,0.7887841527819535,0.14698267050917996,0.0973242062217468,0.27987128446945203,0.25836262361394113,0.13582142313844237,0.08163779204723723,0.2174592151856796
CARREFOUR EXPRESS JOSÉ ABASCAL,CALLE DE JOSÉ ABASCAL 61,28003,MADRID,COMUNIDAD DE MADRID,33.509327530385015,POINT (-3.6921312 40.4382716),"MULTIPOLYGON (((-3.6942387 40.4391289, -3.6939812 40.4387856, -3.6936378 40.4387856, -3.6932945 40.4398155, -3.6927795 40.4399872, -3.6907196 40.4399872, -3.6902046 40.4398155, -3.6888313 40.4384422, -3.6886597 40.4379272, -3.6888313 40.4374123, -3.6891747 40.4370689, -3.689518 40.436039, -3.690033 40.4358673, -3.6914063 40.4358673, -3.6919212 40.436039, -3.6922646 40.4370689, -3.6926079 40.4370689, -3.6929512 40.436039, -3.6932945 40.436039, -3.6934662 40.436554, -3.6934662 40.4372406, -3.6936378 40.4377556, -3.6946678 40.4380989, -3.6948395 40.4386139, -3.6947536 40.4391289, -3.6944962 40.4393005, -3.6942387 40.4391289)))","MULTIPOLYGON (((-3.6981869 40.4386139, -3.6977577 40.4387856, -3.6967278 40.4398155, -3.6962128 40.4399872, -3.6955261 40.4399872, -3.6950111 40.4401588, -3.6950111 40.4405022, -3.6953545 40.4408455, -3.6955261 40.4413605, -3.6953545 40.4418755, -3.6948395 40.4420471, -3.6934662 40.4420471, -3.6929512 40.4422188, -3.6926079 40.4425621, -3.6920929 40.4427338, -3.6914063 40.4427338, -3.6908913 40.4425621, -3.6905479 40.4422188, -3.689518 40.4418755, -3.6893463 40.4413605, -3.6893463 40.4406738, -3.6891747 40.4401588, -3.6886597 40.4399872, -3.6872864 40.4399872, -3.6867714 40.4398155, -3.6864281 40.4387856, -3.6853981 40.4384422, -3.6847115 40.4377556, -3.6847115 40.4374123, -3.6857414 40.4370689, -3.6860847 40.4367256, -3.6864281 40.4367256, -3.6867714 40.4370689, -3.6871147 40.4370689, -3.6872864 40.436554, -3.6872864 40.4351807, -3.687458 40.4346657, -3.6881447 40.433979, -3.6886597 40.4338074, -3.6891747 40.433979, -3.689518 40.4343224, -3.690033 40.434494, -3.6905479 40.4343224, -3.6908913 40.4332924, -3.6914063 40.4331207, -3.6919212 40.4332924, -3.6922646 40.4336357, -3.6932945 40.433979, -3.6936378 40.4343224, -3.6941528 40.434494, -3.6948395 40.434494, -3.6953545 40.4346657, -3.6956978 40.4356956, -3.6967278 40.436039, -3.6974144 40.4367256, -3.6977577 40.4377556, -3.6987877 40.4380989, -3.6988735 40.4384422, -3.698616 40.4386139, -3.6981869 40.4386139)))",2393,23,2872.3710168253374,0.060648602171503585,0.06791158865296888,0.04513431662374763,0.0430139020307218,0.15076795059977302,0.13056733996564573,0.15770413149921605,0.1196806335301188,0.08321648699359781,0.05955714766806576,0.05518667685821149,0.026611223406429654,22437.242271951432,4118.879884761912,2557.446391929813,420.70613127622386,78.9338759328031,0.8355466567311972,0.12856019082447245,0.08814821865446942,0.2813352905654187,0.27738476502933485,0.14277363466166357,0.08179790026464115,0.22457153492630472
